keV	att
1.000000e+02	9.175407e+00
1.005000e+02	9.052858e+00
1.010000e+02	8.932832e+00
1.015000e+02	8.815254e+00
1.020000e+02	8.700024e+00
1.025000e+02	8.587099e+00
1.030000e+02	8.476420e+00
1.035000e+02	8.367923e+00
1.040000e+02	8.261549e+00
1.045000e+02	8.157238e+00
1.050000e+02	8.054934e+00
1.055000e+02	7.954584e+00
1.060000e+02	7.856136e+00
1.065000e+02	7.759538e+00
1.070000e+02	7.664743e+00
1.075000e+02	7.571704e+00
1.080000e+02	7.480376e+00
1.085000e+02	7.390697e+00
1.090000e+02	7.302621e+00
1.095000e+02	7.216129e+00
1.100000e+02	7.131183e+00
1.105000e+02	7.047745e+00
1.110000e+02	6.965756e+00
1.115000e+02	6.885191e+00
1.120000e+02	6.806028e+00
1.125000e+02	6.728233e+00
1.130000e+02	6.651774e+00
1.135000e+02	6.576620e+00
1.140000e+02	6.502740e+00
1.145000e+02	6.430105e+00
1.150000e+02	6.358686e+00
1.155000e+02	6.288457e+00
1.160000e+02	6.219389e+00
1.165000e+02	6.151458e+00
1.170000e+02	6.084638e+00
1.175000e+02	6.018905e+00
1.180000e+02	5.954231e+00
1.185000e+02	5.890572e+00
1.190000e+02	5.827930e+00
1.195000e+02	5.766284e+00
1.200000e+02	5.705614e+00
1.205000e+02	5.645889e+00
1.210000e+02	5.587088e+00
1.215000e+02	5.529201e+00
1.220000e+02	5.472211e+00
1.225000e+02	5.416099e+00
1.230000e+02	5.360847e+00
1.235000e+02	5.306438e+00
1.240000e+02	5.252854e+00
1.245000e+02	5.200079e+00
1.250000e+02	5.148097e+00
1.255000e+02	5.096892e+00
1.260000e+02	5.046449e+00
1.265000e+02	4.996754e+00
1.270000e+02	4.947790e+00
1.275000e+02	4.899546e+00
1.280000e+02	4.852005e+00
1.285000e+02	4.805150e+00
1.290000e+02	4.758964e+00
1.295000e+02	4.713443e+00
1.300000e+02	4.668575e+00
1.305000e+02	4.624348e+00
1.310000e+02	4.580749e+00
1.315000e+02	4.537757e+00
1.320000e+02	4.495369e+00
1.325000e+02	4.453576e+00
1.330000e+02	4.412367e+00
1.335000e+02	4.371732e+00
1.340000e+02	4.331659e+00
1.345000e+02	4.292140e+00
1.350000e+02	4.253164e+00
1.355000e+02	4.214722e+00
1.360000e+02	4.176803e+00
1.365000e+02	4.139400e+00
1.370000e+02	4.102503e+00
1.375000e+02	4.066102e+00
1.380000e+02	4.030191e+00
1.385000e+02	3.994759e+00
1.390000e+02	3.959799e+00
1.395000e+02	3.925302e+00
1.400000e+02	3.891257e+00
1.405000e+02	3.857655e+00
1.410000e+02	3.824494e+00
1.415000e+02	3.791766e+00
1.420000e+02	3.759464e+00
1.425000e+02	3.727581e+00
1.430000e+02	3.696104e+00
1.435000e+02	3.665030e+00
1.440000e+02	3.634354e+00
1.445000e+02	3.604071e+00
1.450000e+02	3.574173e+00
1.455000e+02	3.544655e+00
1.460000e+02	3.515510e+00
1.465000e+02	3.486732e+00
1.470000e+02	3.458316e+00
1.475000e+02	3.430255e+00
1.480000e+02	3.402544e+00
1.485000e+02	3.375177e+00
1.490000e+02	3.348149e+00
1.495000e+02	3.321455e+00
1.500000e+02	3.295088e+00
