0.667,3.8312601
0.714,3.9313491
0.769,3.7783360
0.833,3.5190631
0.909,3.2814572
1.00,3.0826871
1.05,3.0570934
1.11,3.0821649
1.18,3.1599449
1.25,3.1960757
1.33,3.1990778
1.43,3.0278249
1.54,2.2587782
1.67,1.8828191
1.82,1.5455798
2.00,1.2992808
2.11,1.1946455
2.22,1.2212030
2.35,1.2886548
2.50,1.4507921
2.67,1.6746349
2.86,1.8748013
3.08,1.9169200
3.33,1.8505739
3.64,1.8774806
4.00,1.9949739
4.44,2.2388765
5.00,2.6672954
5.71,3.3712766
6.67,4.4961625
8.00,6.2868052
10.0,9.1935519
11.1,10.843912
12.5,12.935818
14.3,15.634532
16.7,19.231714
20.0,24.256111
22.2,27.599188
25.0,31.772550
28.6,37.127733
33.3,44.209069
40.0,54.191208
44.4,61.731428
50.0,68.665703
57.1,76.505227
66.7,87.148396
80.0,103.53408
100,130.21900
125,163.02849
154,196.84283
200,242.14161
