E(keV)	tissue(ICRU44)	water	bonecortical(ICRU44)	adipose	aria	Al	Ca	Fe	C	Cu	Ag	Sn	Ba	Si	CsI	GadOX	polietilene	PMMA	teflon	glass(Pyrex)	Pb	CdTe	ZnSe(Te)	W	Mo	PMMA(wat1999)	Poliossimetilene	CaCl2	etanolo	CaCl2_H2O_100	CaCl2_etanolo_150	CaCl2_etanolo_50	Ottone(Cu_06_Zn_04)	Au	Mg	Ti	mix	H	HA_800mg_Idrossiapatite_in_water	HA_200mg_Idrossiapatite_in_water	HA_100mg_Idrossiapatite_in_water	HA_50mg_Idrossiapatite_in_water	I
81.5	0.192	0.182	0.421	0.170	0.000	0.537	0.421	4.496	0.253	6.540	26.425	20.725	1.320	0.510	15.757	33.054	0.158	0.207	0.345	0.417	26.219	17.583	12.443	143.594282379659	2	0.1913	0.228452006417244	0.711013385788711	0.133664618995339	0.211788044604951	0.187756000070133	0.155103364925315	8.111	167.9	0.03341	1.76	0.745	0.0218477378867885	0.34	0.221	0.202	0.192	16.4504608856406
82.0	0.192	0.182	0.419	0.170	0.000	0.532	0.419	4.433	0.253	6.440	26.001	20.397	1.299	0.506	15.504	32.532	0.157	0.207	0.344	0.415	25.765	17.279	12.223	141.330487471078	2	0.1911	0.22805710174171	0.70367934040279	0.133475207993388	0.210949682375605	0.18700829320866	0.154742788864914	8.018	165.2	0.03341	1.74	0.744	0.021820154522855	0.338	0.221	0.202	0.192	16.1876154029951
82.5	0.191	0.182	0.417	0.169	0.000	0.529	0.417	4.370	0.253	6.350	25.586	20.076	1.278	0.503	15.256	32.022	0.157	0.207	0.343	0.413	25.424	16.982	12.007	139.121243633119	2	0.1908	0.227672297177991	0.696483383795858	0.13329095833777	0.210127335000203	0.186275325148283	0.154390900253429	7.926	162.7	0.03323	1.72	0.743	0.0217926970020063	0.336	0.221	0.201	0.192	15.93064231002
83.0	0.191	0.181	0.413	0.169	0.000	0.526	0.413	4.315	0.252	6.250	25.181	19.763	1.257	0.501	15.014	31.523	0.157	0.206	0.342	0.410	25.084	16.693	11.796	136.964681668879	2	0.1905	0.227297367462202	0.689421916733992	0.133111756541044	0.209320621743314	0.185556741620576	0.154047499342635	7.835	160.2	0.03306	1.70	0.742	0.0217653648097724	0.334	0.219	0.2	0.191	15.6793750808918
83.5	0.191	0.181	0.411	0.169	0.000	0.524	0.411	4.260	0.252	6.170	24.785	19.457	1.239	0.499	14.778	31.034	0.157	0.206	0.341	0.410	24.630	16.411	11.589	134.859014711921	2	0.1903	0.226932093905494	0.682491458311875	0.132937492376749	0.208529173574793	0.184852199367944	0.153712392400922	7.747	157.8	0.03289	1.68	0.741	0.0217381574046372	0.332	0.219	0.2	0.19	15.4336528736712
84.0	0.190	0.181	0.409	0.168	0.000	0.524	0.409	4.197	0.252	6.080	24.398	19.157	1.218	0.494	14.547	30.556	0.157	0.206	0.341	0.408	24.289	16.135	11.386	132.802533874771	2	0.1900	0.226576264158835	0.675688641288696	0.132768058764406	0.207752632731598	0.18416136572739	0.153385391491896	7.660	155.3	0.03271	1.66	0.741	0.0217110742186598	0.331	0.218	0.2	0.19	15.1933203045961
84.5	0.190	0.180	0.407	0.168	0.000	0.521	0.407	4.150	0.252	5.990	24.020	18.863	1.201	0.492	14.320	30.088	0.157	0.205	0.340	0.406	23.949	15.866	11.187	130.793604162898	2	0.1898	0.226229671987725	0.669010207637427	0.132603351659307	0.206990652298839	0.183483918232724	0.153066314262573	7.576	153.0	0.03254	1.64	0.740	0.0216841146580688	0.328	0.217	0.199	0.189	14.9582272325584
85.0	0.190	0.180	0.405	0.168	0.000	0.518	0.405	4.094	0.251	5.910	23.649	18.576	1.180	0.489	14.099	29.630	0.157	0.205	0.339	0.406	23.608	15.604	10.992	128.830660635989	2	0.1895	0.225892117056348	0.662453004296456	0.132443269946868	0.206242895809134	0.182819544234292	0.152754983740677	7.492	150.7	0.03254	1.62	0.739	0.021657278103849	0.327	0.217	0.198	0.189	14.7282285532489
85.5	0.189	0.180	0.403	0.168	0.000	0.516	0.403	4.039	0.251	5.830	23.287	18.296	1.162	0.487	13.882	29.182	0.156	0.205	0.338	0.404	23.268	15.348	10.800	126.912204799542	2	0.1893	0.225563404720719	0.656013979113058	0.132287715341324	0.205509036859299	0.182167940535318	0.152451228140594	7.411	148.6	0.03236	1.61	0.739	0.0216305639123573	0.325	0.216	0.198	0.189	14.503184002488
86.0	0.189	0.179	0.401	0.167	0.000	0.513	0.401	3.992	0.251	5.750	22.933	18.021	1.145	0.485	13.671	28.743	0.156	0.204	0.337	0.401	22.927	15.097	10.613	125.036801211283	2	0.1891	0.22524334583038	0.649690176968957	0.132136592288559	0.204788758743562	0.181528813044061	0.152154880677559	7.330	146.3	0.03219	1.59	0.738	0.0216039714158964	0.323	0.215	0.197	0.188	14.2829579682836
86.5	0.188	0.179	0.399	0.167	0.000	0.510	0.399	3.937	0.251	5.680	22.587	17.752	1.127	0.482	13.463	28.314	0.156	0.204	0.337	0.401	22.587	14.853	10.429	123.203074287926	2	0.1889	0.224931756538259	0.64347873607861	0.131989807872883	0.204081754102473	0.18090187644097	0.151865779389675	7.252	144.1	0.03202	1.57	0.737	0.0215774999233153	0.321	0.215	0.197	0.188	14.0674193111843
87.0	0.188	0.179	0.397	0.167	0.000	0.507	0.397	3.890	0.250	5.600	22.248	17.488	1.110	0.480	13.260	27.893	0.156	0.204	0.336	0.399	22.246	14.614	10.248	121.40970529888	2	0.1886	0.224628458118287	0.637376884451568	0.131847271727566	0.203387724586725	0.180286853860124	0.151583766967391	7.175	142.0	0.03202	1.55	0.737	0.0215511487205934	0.32	0.214	0.197	0.188	13.8564411925194
87.5	0.188	0.178	0.396	0.166	0.000	0.505	0.396	3.843	0.250	5.530	21.916	17.230	1.092	0.478	13.062	27.481	0.156	0.204	0.335	0.397	22.019	14.381	10.071	119.655429534656	2	0.1884	0.224333276790422	0.631381936510552	0.131708895948957	0.202706380535183	0.179683476584236	0.151308690590069	7.099	140.1	0.03184	1.54	0.736	0.0215249170713934	0.317	0.213	0.195	0.187	13.6499009101376
88.0	0.187	0.178	0.394	0.166	0.000	0.502	0.394	3.795	0.250	5.460	21.591	16.978	1.078	0.473	12.867	27.077	0.156	0.202	0.334	0.397	21.679	14.154	9.898	117.93903363843	2	0.1882	0.224046043552727	0.625491289857555	0.131574595014026	0.202037440666422	0.179091483752569	0.151040401769319	7.025	137.9	0.03167	1.52	0.736	0.021498804217655	0.316	0.213	0.195	0.187	13.4476797412803
88.5	0.187	0.178	0.392	0.166	0.000	0.502	0.392	3.748	0.250	5.390	21.274	16.731	1.061	0.471	12.677	26.682	0.156	0.202	0.334	0.395	85.920	13.931	9.728	116.259353090141	2	0.1880	0.223766594020179	0.619702422180539	0.131444285701162	0.201380631783127	0.178510622081145	0.150778756198758	6.952	136.0	0.03167	1.51	0.735	0.0214728093801673	0.315	0.212	0.195	0.187	13.2496627922429
89.0	0.187	0.177	0.390	0.166	0.000	0.499	0.390	3.709	0.250	5.310	20.962	16.488	1.047	0.468	12.490	26.295	0.156	0.202	0.333	0.395	84.785	13.714	9.561	114.615269833328	2	0.1879	0.223494768269898	0.614012888293832	0.131317887014091	0.200735688488743	0.177940645594635	0.150523613609916	6.880	134.1	0.03149	1.49	0.734	0.0214469317590891	0.312	0.211	0.194	0.185	13.0557388544947
89.5	0.186	0.177	0.388	0.165	0.000	0.497	0.388	3.661	0.250	5.250	20.658	16.251	1.029	0.468	12.308	25.915	0.156	0.201	0.332	0.393	83.536	13.501	9.397	113.005710035531	1	0.1877	0.223230410692505	0.608420317305638	0.131195320108769	0.200102352915794	0.177381315369401	0.150274837633979	6.810	132.1	0.03132	1.48	0.734	0.021421170534547	0.311	0.211	0.194	0.185	12.8658002669512
90.0	0.186	0.177	0.386	0.165	0.000	0.494	0.386	3.622	0.249	5.180	20.360	16.019	1.015	0.466	12.129	25.543	0.155	0.201	0.332	0.393	82.401	13.294	9.236	111.429641973722	1	0.1875	0.222973369849316	0.602922409906457	0.131076508223104	0.199480374465314	0.17683239928713	0.150032295669118	6.741	130.2	0.03132	1.46	0.733	0.0213955248671557	0.31	0.21	0.194	0.185	12.6797427841005
90.5	0.186	0.176	0.384	0.165	0.000	0.494	0.384	3.575	0.249	5.120	20.068	15.791	1.001	0.464	11.954	25.179	0.155	0.201	0.331	0.390	81.153	13.091	9.078	109.886074036955	1	0.1873	0.22272349833513	0.597516935772573	0.130961376609408	0.198869509556884	0.176293671798584	0.149795858753115	6.673	128.5	0.03115	1.45	0.733	0.0213699938985525	0.308	0.209	0.192	0.184	12.4974654497085
91.0	0.186	0.176	0.382	0.164	0.000	0.491	0.382	3.535	0.249	5.050	19.781	15.568	0.987	0.461	11.782	24.822	0.155	0.201	0.330	0.388	80.018	12.893	8.924	108.374052838817	1	0.1872	0.22248065264635	0.592201731079015	0.130849852469423	0.198269521388759	0.17576491369697	0.149565401441087	6.606	126.7	0.03097	1.43	0.732	0.021344576751954	0.306	0.209	0.192	0.184	12.3188704758383
91.5	0.184	0.176	0.380	0.164	0.000	0.489	0.380	3.496	0.249	4.990	19.501	15.349	0.973	0.459	11.614	24.472	0.155	0.200	0.330	0.388	78.996	12.699	8.772	106.892661432903	1	0.1870	0.222244693054183	0.586974696116808	0.130741864891836	0.197680179707648	0.175245911900501	0.149340801688029	6.541	125.0	0.03097	1.42	0.732	0.0213192725326579	0.305	0.208	0.192	0.184	12.1438631269335
