keV	att
1.000000e+02	4.594299e-01
1.005000e+02	4.579196e-01
1.010000e+02	4.564312e-01
1.015000e+02	4.549641e-01
1.020000e+02	4.535179e-01
1.025000e+02	4.520921e-01
1.030000e+02	4.506861e-01
1.035000e+02	4.492997e-01
1.040000e+02	4.479323e-01
1.045000e+02	4.465808e-01
1.050000e+02	4.452471e-01
1.055000e+02	4.439312e-01
1.060000e+02	4.426328e-01
1.065000e+02	4.413515e-01
1.070000e+02	4.400870e-01
1.075000e+02	4.388389e-01
1.080000e+02	4.376068e-01
1.085000e+02	4.363904e-01
1.090000e+02	4.351894e-01
1.095000e+02	4.340035e-01
1.100000e+02	4.328324e-01
1.105000e+02	4.316757e-01
1.110000e+02	4.305332e-01
1.115000e+02	4.294045e-01
1.120000e+02	4.282895e-01
1.125000e+02	4.271874e-01
1.130000e+02	4.260964e-01
1.135000e+02	4.250183e-01
1.140000e+02	4.239527e-01
1.145000e+02	4.228995e-01
1.150000e+02	4.218585e-01
1.155000e+02	4.208293e-01
1.160000e+02	4.198117e-01
1.165000e+02	4.188056e-01
1.170000e+02	4.178107e-01
1.175000e+02	4.168268e-01
1.180000e+02	4.158538e-01
1.185000e+02	4.148913e-01
1.190000e+02	4.139392e-01
1.195000e+02	4.129974e-01
1.200000e+02	4.120656e-01
1.205000e+02	4.111436e-01
1.210000e+02	4.102310e-01
1.215000e+02	4.093267e-01
1.220000e+02	4.084316e-01
1.225000e+02	4.075458e-01
1.230000e+02	4.066690e-01
1.235000e+02	4.058011e-01
1.240000e+02	4.049419e-01
1.245000e+02	4.040913e-01
1.250000e+02	4.032491e-01
1.255000e+02	4.024151e-01
1.260000e+02	4.015893e-01
1.265000e+02	4.007715e-01
1.270000e+02	3.999615e-01
1.275000e+02	3.991593e-01
1.280000e+02	3.983647e-01
1.285000e+02	3.975776e-01
1.290000e+02	3.967978e-01
1.295000e+02	3.960252e-01
1.300000e+02	3.952597e-01
1.305000e+02	3.945013e-01
1.310000e+02	3.937487e-01
1.315000e+02	3.930027e-01
1.320000e+02	3.922635e-01
1.325000e+02	3.915308e-01
1.330000e+02	3.908046e-01
1.335000e+02	3.900848e-01
1.340000e+02	3.893713e-01
1.345000e+02	3.886639e-01
1.350000e+02	3.879626e-01
1.355000e+02	3.872673e-01
1.360000e+02	3.865779e-01
1.365000e+02	3.858943e-01
1.370000e+02	3.852164e-01
1.375000e+02	3.845441e-01
1.380000e+02	3.838774e-01
1.385000e+02	3.832162e-01
1.390000e+02	3.825604e-01
1.395000e+02	3.819098e-01
1.400000e+02	3.812645e-01
1.405000e+02	3.806243e-01
1.410000e+02	3.799892e-01
1.415000e+02	3.793584e-01
1.420000e+02	3.787324e-01
1.425000e+02	3.781113e-01
1.430000e+02	3.774950e-01
1.435000e+02	3.768834e-01
1.440000e+02	3.762764e-01
1.445000e+02	3.756741e-01
1.450000e+02	3.750763e-01
1.455000e+02	3.744830e-01
1.460000e+02	3.738941e-01
1.465000e+02	3.733095e-01
1.470000e+02	3.727293e-01
1.475000e+02	3.721533e-01
1.480000e+02	3.715814e-01
1.485000e+02	3.710137e-01
1.490000e+02	3.704500e-01
1.495000e+02	3.698904e-01
1.500000e+02	3.693347e-01
