projection_index,angle_deg,x_pixel,label
45,33.9742,-393.54791259765625,A
46,34.7248,-381.5520935058594,A
47,35.4755,-369.55645751953125,A
48,36.2262,-355.5610046386719,A
49,36.9769,-342.89876538085934,A
50,37.7276,-328.90367871093747,A
51,38.4784,-315.5758056640625,A
52,39.2292,-302.9141157226562,A
53,39.98,-290.2536088867188,A
54,40.7308,-276.2592241210938,A
55,41.4816,-262.93102246093747,A
56,42.2324,-248.27091235351563,A
57,42.9831,-235.60989379882812,A
58,43.7339,-222.94899731445315,A
59,44.4846,-208.9551618652344,A
60,45.2354,-195.62835693359375,A
61,45.9861,-180.3015520019531,A
62,46.7368,-168.97377758789065,A
63,47.4874,-154.98000317382815,A
64,48.2381,-142.98613720703128,A
65,48.9887,-127.65924072265625,A
66,49.7393,-114.33228320312497,A
67,50.4899,-99.00420361328128,A
68,51.2404,-89.01000195312503,A
69,51.9909,-73.68264770507812,A
70,52.7415,-61.68817138671875,A
71,53.492,-50.36054248046872,A
72,54.2425,-37.03173046875003,A
73,54.993,-21.7037353515625,A
74,55.7435,-6.375557128906223,A
75,56.494,4.953773681640598,A
76,57.2445,20.282318115234375,A
77,57.995,32.94507617187503,A
78,58.7456,44.27398681640625,A
79,59.4961,59.60308056640622,A
80,60.2467,70.93338793945316,A
81,60.9973,88.26284790039062,A
82,61.748,95.59246044921872,A
83,62.4987,110.92325610351566,A
84,63.2494,125.5862043457031,A
85,64.0002,138.25030517578125,A
86,64.7511,155.58052807617184,A
87,65.502,165.57784252929684,A
88,66.2529,183.57530957031247,A
89,67.004,198.23983764648438,A
90,67.755,206.90448779296878,A
91,68.5062,220.9021989746094,A
92,69.2574,230.23300170898438,A
93,70.0087,250.23086547851562,A
94,70.7601,257.5617902832031,A
95,71.5115,275.55977612304684,A
96,72.263,286.2248229980469,A
97,73.0146,299.55590039062497,A
98,73.7663,312.2210693359375,A
99,74.518,324.21923828125,A
100,75.2698,336.8844987792969,A
101,76.0217,352.8827897949219,A
102,76.7736,366.21417236328125,A
103,77.5256,378.21258544921875,A
104,78.2776,390.87809008789066,A
105,79.0298,404.20965576171875,A
106,79.7819,416.20831298828125,A
107,80.5341,431.5400617675781,A
108,81.2864,443.53890209960934,A
109,82.0387,456.2048645019531,A
110,82.791,472.87097949218753,A
305,228.9376,354.92752856445316,A
306,229.6885,315.59593945312497,A
307,230.4395,280.9322282714844,A
309,231.9414,207.60237866210934,A
310,232.6924,165.60430126953122,A
313,234.9455,63.60942822265622,A
316,237.1985,-40.3860246582031,A
319,239.4515,-160.38178271484372,A
321,240.9534,-238.37897509765625,A
323,242.4554,-298.37613696289066,A
324,243.2064,-339.0406721191406,A
325,243.9574,-368.37320727539066,A
156,117.3639,442.8646240234375,B
157,118.1143,406.37109375,B
158,118.8646,374.37750244140625,B
159,119.615,340.38385009765625,B
160,120.3653,309.0570756835938,B
161,121.1156,271.72920971679684,B
162,121.8659,238.40219116210938,B
163,122.6162,205.07502001953128,B
164,123.3664,173.08069628906253,B
165,124.1167,139.0861589355469,B
166,124.8669,103.75740795898434,B
167,125.6172,71.76244335937497,B
168,126.3674,33.76720410156247,B
169,127.1176,-0.22830981445309817,B
170,127.8678,-30.224128906249973,B
171,128.618,-73.55322265625,B
172,129.3682,-104.21665209960935,B
173,130.1183,-142.2134172363281,B
174,130.8684,-173.54354858398438,B
175,131.6186,-207.54104614257812,B
176,132.3686,-239.53887939453125,B
178,133.8687,-309.5356750488281,B
179,134.6187,-342.2016374511719,B
180,135.3686,-374.20096606445316,B
181,136.1185,-406.2006608886719,B
372,279.2833,-480.3374406738281,B
373,280.0352,-468.33985156250003,B
374,280.787,-455.0083540039062,B
375,281.5387,-443.0109174804687,B
376,282.2905,-430.3475114746094,B
377,283.0422,-417.0161359863281,B
378,283.794,-403.01876049804684,B
379,284.5456,-390.35535449218753,B
380,285.2973,-379.0238569335937,B
381,286.049,-365.69329833984375,B
382,286.8006,-351.69561767578125,B
383,287.5522,-338.3648149414063,B
384,288.3038,-326.3667985839844,B
385,289.0554,-314.3686296386719,B
386,289.8069,-299.03621655273434,B
387,290.5585,-287.03758984374997,B
388,291.31,-273.7056884765625,B
389,292.0615,-259.03951245117184,B
390,292.813,-248.37406176757813,B
391,293.5645,-235.04030590820312,B
392,294.3159,-220.37424487304685,B
393,295.0674,-209.0398786621094,B
394,295.8188,-195.03917675781253,B
395,296.5702,-183.70516967773438,B
396,297.3216,-169.703857421875,B
397,298.0729,-155.70223999023438,B
398,298.8242,-145.0332868652344,B
399,299.5755,-127.69805908203125,B
400,300.3268,-116.3625871582031,B
401,301.078,-105.69284057617188,B
402,301.8292,-93.02288037109378,B
403,302.5803,-79.01970654296878,B
404,303.3314,-65.68338012695312,B
405,304.0825,-52.34690112304685,B
406,304.8335,-39.00930004882815,B
407,305.5845,-27.005607421875027,B
408,306.3354,-14.335853759765598,B
409,307.0862,1.0018999023437232,B
410,307.837,15.005684082031223,B
411,308.5877,27.00940722656253,B
412,309.3384,40.3460693359375,B
413,310.089,51.682639892578095,B
414,310.8395,65.02008837890628,B
415,311.59,80.35641479492188,B
416,312.3404,92.35955810546875,B
417,313.0907,105.69551831054684,B
418,313.8409,115.03226489257816,B
419,314.5911,129.7008283691406,B
420,315.3412,142.37014770507812,B
421,316.0913,156.37228393554688,B
422,316.8412,169.04117602539066,B
423,317.5911,183.04285449218753,B
424,318.341,195.71031933593747,B
425,319.0907,209.71160107421872,B
426,319.8405,222.37969970703125,B
427,320.5901,237.04761523437503,B
428,321.3397,247.71440869140622,B
429,322.0893,260.382080078125,B
430,322.8388,274.3826599121094,B
431,323.5882,285.7162092285156,B
432,324.3376,299.7167280273437,B
433,325.087,313.0512468261719,B
434,325.8364,327.05179614257816,B
435,326.5857,339.71846752929684,B
436,327.3349,353.05323046875003,B
437,328.0842,366.3871765136719,B
438,328.8334,377.72127514648434,B
439,329.5826,389.72261791992184,B
440,330.3318,403.72420483398434,B
